rank,site_index,latitude,longitude,log_cell_count
1,21,26.579982909868566,-83.01286625350644,9.783567657265761
2,46,26.286333817220736,-82.94551262165626,8.153809132204332
3,11,26.94976004987229,-83.04800295546661,8.105024832490558
4,71,27.075531468572162,-83.0781320717501,6.883976877115151
5,103,28.01045337558181,-82.73400016309391,6.46015844182424
6,4,27.13722463709971,-82.31592278135479,6.192765621350777
7,102,27.798185944616556,-83.04652233840709,6.165243984499565
8,79,26.31349289696973,-83.21569737658922,6.06134583940988
9,63,26.69887441638625,-83.28814006571915,5.99417598853427
10,93,28.045384643970078,-82.79226326722502,5.894911968226638
11,52,26.127994024300616,-82.75091431728137,5.875451198526477
12,118,27.61254189096442,-83.09419332351807,5.808487057411725
13,33,26.636627399283007,-82.35798765945061,5.72895022413036
14,82,28.204250872228695,-82.86839622905508,5.322195790546323
15,51,28.20582341254797,-82.78511589664845,5.223029512343206
16,47,28.179864006452995,-82.6354799682765,5.194619854009325
17,3,26.745167963138424,-83.3375828024534,5.1532798734178185
18,106,28.203693068606295,-82.62628098712824,5.14193571814598
19,17,28.867589133753956,-83.3254911882899,5.034470437011944
20,28,28.43669171339444,-83.30632886458628,4.9469743748247135
21,27,29.289603403950466,-83.73601506287442,4.888298316782911
22,18,28.23607584031119,-83.29840258067412,4.85895024337638
23,44,28.30950512620646,-82.90186067847904,4.798341771812587
24,104,29.410752141539252,-82.87519556403552,4.717346122513174
25,45,28.750225506333518,-83.4998568245298,4.679346645104131
26,20,26.719643632271396,-82.2347163925678,4.527138064053841
27,73,28.518633904523824,-82.96613823439272,4.4820473903442135
28,34,28.47790917927439,-82.77781352236703,4.286662177259596
29,107,28.532494954611522,-82.7666173215383,4.103427565141056
30,84,29.45692675070561,-83.04290520836253,4.011416007405502
31,7,28.92770593411153,-84.05699063735831,3.3609143094336136
32,1,29.43328794365216,-82.7833826502418,3.110238299108708
33,109,27.816713373840827,-81.94313904417443,3.1053021440591557
34,116,29.064429317323484,-82.6761242715733,2.9930211285416557
35,32,25.952016356301765,-82.55293824000675,2.8896771088207434
36,15,28.17660421755146,-83.66650459369386,2.7797513729828753
37,110,28.880058715189346,-84.22959260192324,2.654243682004683
38,86,27.973024647556052,-81.95201085555901,2.6217883118067666
39,91,29.179024610499898,-84.27358465026104,2.5831205713745797
40,81,29.439181538703306,-82.64147480826371,2.5611374448111146
